,Original ID,side_a,side_b,Catalyst Music Genre Side A,Catalyst Music Genre Side B,Label Name,text
0,columbia_4505,La Tasolera,Nido Perdido,Huapango,Huapango,Columbia,la tasolera nido perdido benjamin snchezmota trio tariacuri eligionorberto mendoza alejandro camacho eligio mendoza huapango huapango columbia
1,columbia_4522,Cuando Es Puro El Amor,Chaparrita Chula,Ranchera,Ranchera,Columbia,cuando es puro el amor chaparrita chula cuco snchez cuco sanchez con el mariachi jalisco de pepe villa ranchera ranchera columbia
2,columbia_9601,Cumbia Del Sol,Cumbia Del Monte,Cumbia,Cumbia,Columbia,cumbia del sol cumbia del monte hector quintero carmen rivero su conj tropical rovira cumbia cumbia columbia
3,columbia_9611,En Mi Viejo San Juan,Sombras,Bolero,Bolero,Columbia,en mi viejo san juan sombras noel estrada javier solis con el mariachi jalisco de pepe villa arr dir maldonado jos mara contursi lomuto con el mariachi los mensajeros de lsabel paredes arr de santiago bolero bolero columbia
4,columbia_9616,Donde Estara Mi Vida,De La Mano,Bolero,Bolero,Columbia,donde estara mi vida de la mano calderajimnezlpezsegovia roberto yanes con frank ferrar su orquesta prado san cristobal bolero bolero columbia
5,columbia_9618,Alma De Acero,Maldicion Ranchera,Ranchera,Ranchera,Columbia,alma de acero maldicion ranchera alfredo jimnez jose alfredo jimenez con acompaamiento de mariachi con mariachi ranchera ranchera columbia
6,columbia_9620,Tardecita Campera,Colorin Colorado,Ranchera,Ranchera,Columbia,tardecita campera colorin colorado cuco sanchez con la guitarra de bribiesca mariachi de la pelcula guitarras lloren guitarras con el mariachi tenochtitln de heriberto aceves ranchera ranchera columbia
7,columbia_9621,Tres Lunas,Cuando Calienta El Sol,Bolero,Bolero,Columbia,tres lunas cuando calienta el sol luis demetrio javier solis con acompaamiento de mariachi rigual con el mariachi jalisco de pepe villa arr dir maldonado bolero bolero columbia
8,columbia_9630,Cita En Mazatlan,Las Horas Pasan,Bolero,Ranchera,Columbia,cita en mazatlan las horas pasan pepe guizar hermanas huerta con el mariachi jalisco de pepe villa arr dir maldonado raal raze bolero ranchera columbia
9,columbia_9632,El Clavito,Que Linda,Cumbia,Cumbia,Columbia,el clavito que linda pascual mariscal barba esther pla carmen rivero su conjunto canta eduardo lara arr dir maldonado mario garea cumbia cumbia columbia
10,columbia_9635,Fuego Bajo Tu Piel,Remojame Los Labios,Bolero,Bolero,Columbia,fuego bajo tu piel remojame los labios trio los panchos gil navarro albino alfredo gil bolero bolero columbia
11,columbia_9657,El Barco Ligero,Maria De Los Angeles,Corrido,Ranchera,Columbia,el barco ligero maria de los angeles adelaida felipe valds leal los alegres de teran toms ortiz corrido ranchera columbia
12,columbia_9658,Se Te Olvida (La Mentira),Triunfamos,Bolero,Bolero,Columbia,se te olvida la mentira triunfamos alvaro carrillo trio los panchos gil navarro albino rafael crdenas bolero bolero columbia
13,columbia_9659,El Banderillero,La Pipa De Pantaleon,Guaracha,Guaracha,Columbia,el banderillero la pipa de pantaleon la mano investigadora higinio pelaez guadalupe ramos los astronautas guaracha guaracha columbia
